id,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016
370630017052,185351,154953,163723,178332,182034,181319,161522,189797,187692,177388,167047,334172,154151,138898,145519,185000
370630017053,145238,159013,121472,130047,129668,141693,125725,118447,115762,129727,102092,122986,106763,121121,130147,130000
370630017061,256933,282501,277273,265245,496852,381850,325663,279196,252879,287656,221059,199407,221038,196184,212129,251500
370630017062,161837,167809,166364,169319,158968,160906,158321,134239,162966,141008,123893,134216,129565,122680,126560,131000
370630017071,217857,217881,235022,255588,227542,220945,211579,218844,214947,212076,172615,316641,198505,231758,302310,250000
370630017072,187426,208408,195411,197646,194502,200531,209542,166953,208204,169209,145888,170921,194213,223649,204956,202500
370630017073,257279,212468,278593,364391,360327,222146,214198,270735,287158,220418,205468,243781,188848,300815,210080,285000
370630017074,238605,249684,214556,252047,255595,258169,252906,228433,229277,227869,198229,216390,217282,217110,179336,218000
370630017075,661179,644847,432413,669551,658625,595591,570420,611974,597918,609154,537891,440997,616974,555069,703511,582500
370630017081,116190,178636,156791,175113,193255,189724,198774,163851,171958,157929,159251,135312,118030,118233,121180,149000
370630017091,100629,83905,117511,70818,107225,74158,130964,78964,61815,33842,36194,48208,55487,47084,48677,57000
370630017092,107891,100144,77900,112021,81042,74449,110592,73324,40392,88271,58466,43004,64380,77427,61517,65238
370630017093,67432,134999,211255,207303,214762,202933,180439,163287,121663,117768,130297,106682,130369,140729,128097,169000
370630017101,179819,179989,181548,176401,181410,184921,163559,168081,160157,157647,135308,121617,126077,140729,142393,151000
370630017102,161145,162396,147879,162237,168319,157303,155410,117883,106771,130855,128069,108469,115347,100446,126048,128000
370630017111,148005,133300,150519,150327,153357,168110,197610,156801,154537,152853,147558,146542,154512,164271,149618,165500
370630017112,148005,175929,171315,171251,162085,142894,154246,162441,138802,124087,193775,150379,123395,160086,133221,115000
370630017113,106508,108264,97706,99145,98498,85856,101861,100962,95532,80778,70160,71217,72363,68010,74809,71000
370630018011,160454,179651,169665,180264,182034,167510,188006,163569,156785,160749,102138,123260,141636,135054,137833,152500
370630018012,145238,85258,93745,141636,138396,144995,159194,89117,96395,80092,70717,55878,109446,104631,119387,148000
370630018013,126910,157659,177587,111812,148993,148898,176073,172594,151727,137624,158138,160512,145391,141514,117593,126000
370630018014,78615,165103,117511,169319,150864,148597,140859,142418,146108,129163,124172,104086,94907,102277,120924,133000
370630018015,183968,126534,69318,221789,192008,222146,198483,156801,146108,100398,50393,268433,309024,191475,122974,107662
370630018021,162528,154011,126753,115884,152110,108071,137075,134983,128406,105474,69046,46017,77401,92729,116825,54000
370630018022,143509,146156,121472,129404,130915,120585,103607,119742,82641,82341,78512,54570,96789,95738,83213,121500
370630018023,145238,142773,112229,135198,132161,148297,149008,126907,116851,57531,96887,98608,103780,107770,88131,109500
370630018024,118957,87965,90444,73715,124681,50433,111174,84605,82336,56403,43463,67382,91205,35705,41504,84000
370630018061,176361,125857,155141,140992,167072,165709,148426,116190,151727,128011,143137,133669,136807,91029,143469,139500
370630018062,178435,167133,180887,186702,190761,192726,192662,183874,157745,169133,155911,128738,144855,148576,161403,181500
370630018071,149734,162396,159432,169963,145876,168711,202266,174850,146108,129727,114427,94225,123931,125034,122974,154000
370630018072,201259,201980,203333,192496,203229,183720,172290,169209,163528,153135,121387,138726,150220,156424,164477,163000
370630018073,176706,181342,162403,167388,176111,180118,174618,158493,140488,140444,116933,118330,120176,129220,136808,148000
370630018081,233764,232091,245254,224686,221308,231752,221183,199667,208929,200231,175399,172564,187238,172642,189072,195000
370630018082,183968,131270,179897,240137,273051,276181,289866,283144,284348,286528,234423,232277,235523,243268,248509,270000
370630018091,121723,161043,187489,183483,187021,182520,186260,165261,160719,154545,144774,123808,132515,162178,136296,148000
370630018092,253129,271337,262419,260095,211957,218543,230787,212640,230401,222228,204911,211459,204675,235420,215204,225500
370630019001,76077,207055,211255,173504,203853,226048,169962,198539,186849,186130,236650,,387889,373010,326392,375500
370630019002,170482,175929,201353,232412,238140,201132,226422,201923,196684,208692,194888,201051,196359,202985,202138,208500
370630020071,186735,213145,205974,221145,211957,208937,242137,211512,204551,191207,209366,212555,203065,216848,220328,243000
370630020072,213362,185402,192771,200865,217879,210138,211288,210948,171115,205307,208809,192286,187775,178919,204956,178000
370630020073,248980,167809,180513,187346,293311,318209,173454,199385,263556,192899,178183,256655,190994,262624,148593,189000
370630020081,501763,581242,521537,490575,634313,600394,503483,456865,665914,399898,478868,674917,685110,526818,563629,579000
370630020082,352721,286561,356163,296148,291129,316708,318678,303449,303455,298937,351912,356002,285686,449391,376094,324750
370630020091,114116,115031,116190,113309,125616,111673,142023,126343,66029,38354,99115,75380,54186,56501,72759,92250
370630020092,157687,119090,108929,106871,137149,126683,96040,132547,66662,61479,54290,78886,77792,81812,47396,111750
370630020093,124490,120444,103845,93351,109719,108071,114666,98141,67434,85169,54012,41634,69208,80148,71735,94000
370630020131,172902,171192,162403,151293,160838,150098,150172,162441,150041,138752,140598,157225,152902,155901,148593,193750
370630020132,136247,164426,160422,175757,168319,163307,161231,164697,151727,157929,170388,155581,179191,156424,162171,165000
370630020133,234456,230061,222478,230480,233464,237756,237481,194591,233772,218844,219945,214746,193140,184151,215204,230000
370630020151,188118,193522,191450,181551,182345,196029,192080,176542,177577,163005,166212,170373,174899,172642,175750,205000
370630020152,189501,191154,196402,187989,193255,207136,192080,186130,192469,196283,180411,185164,192067,175257,193171,203000
370630020153,,,,166100,,238356,109427,,,,,,,,155254,325000
370630020161,,,,,,,,,,,,,,,,
370630020162,197800,174576,158442,139704,216944,124582,131546,275811,130373,293296,218832,146816,214600,366209,406325,250000
370630020171,367937,334265,327446,303873,367808,411270,440038,396514,356840,346315,334651,324311,344433,340051,358673,340000
370630020172,291168,328175,332727,246575,271492,268376,261927,310217,320875,332779,289548,245424,201724,313894,274641,285000
370630020173,333702,372834,376299,397868,360327,366841,358259,355340,328181,349699,245002,260836,289710,256870,350987,255000
370630020181,298084,359978,311602,323831,465994,684449,394055,711808,529922,490143,532602,525909,599270,464301,285657,520000
370630020182,172902,171192,173295,167388,220061,201132,186260,182182,189940,166389,193496,324311,341214,167410,151667,165000
370630020183,294626,346445,332067,312243,329469,342224,392309,308807,301207,361262,311821,321572,319217,329588,310508,320000
370630020191,159070,158336,155141,159018,650210,617205,655110,620435,702441,669505,648699,611370,622339,594305,571315,482000
370630020192,352721,345092,254167,468364,372795,333519,339924,275247,320313,451225,462720,453871,493848,370395,371483,451250
370630020193,316757,290960,301369,313530,296117,315807,325954,320370,269737,311345,297344,301302,300440,272564,285913,288000
370630020201,207137,272352,361775,353446,373418,387854,387362,346879,310760,324811,314048,323215,300976,303954,318706,321000
370630020202,334393,351520,344940,314496,331650,389944,399876,368877,402920,375081,345230,316093,397278,334820,375069,382000
370630020211,289785,282840,287175,270396,297675,301097,300344,297809,267490,287656,267275,258024,251618,265763,251071,265000
370630020212,241372,352535,338999,337995,299234,238056,245048,242534,222533,270735,239434,219677,244644,287736,275153,262000
370630020221,213016,221941,227100,209879,212580,208637,211288,200231,219162,210948,208252,184616,173826,174734,196501,214500
370630020222,219586,227354,231061,224686,224425,237456,230496,219972,220286,236329,218832,208720,207089,200630,221865,218250
370630020231,236185,224309,261759,226617,249361,235354,261054,259454,230401,235201,203797,221320,214600,224957,223914,253000
