id,y_2013,y_2014,y_2015,y_2016
Treyburn,694,708,720,728
Trinity Commons,342,342,342,342
Trinity Heights,142,143,157,116
Trinity Park,1413,1407,1449,1283
Trotter Ridge,148,148,148,148
Tuscaloosa-Lakewood,676,952,952,952
Urban 900,24,23,23,20
Valley Run,119,119,121,121
Valleybrook,167,167,167,167
Vantage Pointe,180,180,180,180
Walden Pond,217,217,217,217
Walltown,989,1001,1035,982
Warehouse District,228,382,747,383
Waterford,137,137,137,137
Watts Hospital-Hillandale,1096,1093,1104,1091
Welcome Circle,35,35,35,35
Wellington Forest,332,332,332,332
Wellons Village,176,175,177,171
West End,646,665,676,661
West Hills,151,161,170,156
West Murray / Broad,40,41,41,40
Westgate Townes,60,60,60,60
Westwood Estates,209,209,209,209
Whitney Park,26,26,26,26
Willow Hill,137,136,136,136
Willowhaven,311,310,311,310
Windsor Oaks,126,126,126,126
Woodcroft,1402,1402,1402,1402
Woodlake,759,759,760,760
Woodstone at Croasdaile Farm,120,662,120,120
Woodwinds,96,96,96,96
Wynstead,69,69,69,69
Wynterfield,579,584,584,584
