id,y_2012,y_2013,y_2014,y_2015,y_2016
Southside / St. Teresa,102,104,103,115,120
Spring Valley,15,14,18,12,15
Stadium Heights,121,131,134,122,95
Stephen's Woods,3,2,6,3,9
Sterling Ridge,2,0,1,2,0
Stillwood,1,4,10,7,5
Stirrup Creek,1,3,10,3,1
Stonehill Estates,15,30,41,28,20
Stratford Lakes,1,0,1,3,0
Summer Meadow,27,21,24,22,26
Sunningdale,10,4,6,7,7
Surrey Green,0,3,4,3,1
Swallows Ridge,,0,0,0,1
Swann's Mill,48,38,30,33,23
Taylor Estates,2,7,4,9,2
Thaxton,7,5,4,4,4
The Hills at Southpoint,2,6,6,6,4
The Landing at Southpoint,0,1,2,0,0
Townes at Brier Creek Crossing,0,0,1,2,2
Treyburn,28,18,31,24,24
Trinity Commons,9,5,1,2,9
Trinity Heights,26,33,16,17,22
Trinity Park,203,153,118,154,172
Trotter Ridge,6,6,4,11,7
Tuscaloosa-Lakewood,114,89,96,74,70
Urban 900,5,1,1,0,3
Valley Run,5,3,6,11,5
Valleybrook,10,7,13,18,10
Vantage Pointe,3,4,3,10,3
Walden Pond,14,18,14,16,29
Walltown,116,115,118,109,116
Warehouse District,70,72,65,81,79
Waterford,4,5,11,7,4
Watts Hospital-Hillandale,177,169,173,166,185
Welcome Circle,0,1,5,6,0
Wellington Forest,15,8,24,22,18
Wellons Village,159,186,201,227,200
West End,69,87,74,65,81
West Hills,14,17,22,13,14
West Murray / Broad,2,9,9,5,7
Westgate Townes,8,2,3,2,2
Westwood Estates,7,11,7,4,4
Whitney Park,0,2,1,1,0
Willow Hill,7,8,2,3,2
Willowhaven,12,9,12,21,9
Windsor Oaks,2,3,3,1,8
Woodcroft,88,82,86,47,51
Woodlake,21,24,54,32,26
Woodstone at Croasdaile Farm,2,2,2,0,1
Woodwinds,4,9,4,1,0
Wynstead,5,1,3,4,8
Wynterfield,57,33,26,47,30
