id,y_2012,y_2013,y_2014,y_2015,y_2016
Tuscaloosa-Lakewood,11,5,1,1,2
Urban 900,0,0,0,1,0
Valley Run,3,1,0,0,0
Valleybrook,0,1,2,1,0
Vantage Pointe,,,,,
Walden Pond,2,1,2,1,0
Walltown,17,27,10,19,9
Warehouse District,2,5,6,1,2
Waterford,1,0,1,0,0
Watts Hospital-Hillandale,34,23,21,25,26
Welcome Circle,,,,,
Wellington Forest,2,0,1,0,0
Wellons Village,55,49,26,26,28
West End,28,8,11,11,5
West Hills,1,0,3,0,1
West Murray / Broad,0,1,0,0,0
Westgate Townes,0,1,1,0,0
Westwood Estates,0,2,1,1,1
Whitney Park,,,,,
Willow Hill,,,,,
Willowhaven,,,,,
Windsor Oaks,,,,,
Woodcroft,2,2,0,0,2
Woodlake,1,1,1,1,1
Woodstone at Croasdaile Farm,,,,,
Woodwinds,0,1,0,0,0
Wynstead,,,,,
Wynterfield,5,0,0,1,2
