id,y_2013,y_2014,y_2015,y_2016
Ravenstone,19521,19521,19531,22268
Ridgefield,16771,16771,16768,16769
Rigsbee Hill,1168,908,908,908
River Forest,9449,9449,9449,9449
River's Edge,3719,3719,3719,3719
Rockwood,30966,30966,30981,31321
Rougemont,,,,
Rustica Oaks,2539,4072,4072,4072
Scarsdale Village,54260,54260,54260,54258
Sheridan Drive,8628,8628,8551,8550
Solterra,4389,4389,4389,4389
South Terrace at Auburn,1251,1251,1251,1251
Southampton,3758,3758,3758,3757
Southpoint Manor,6824,6824,6821,7593
Southside / St. Teresa,36725,36712,36251,36245
Spring Valley,22887,22887,22886,22895
Stadium Heights,65066,65059,65066,65068
Stephen's Woods,10658,10658,10657,10657
Sterling Ridge,1272,1272,1270,1271
Stillwood,3825,3825,3817,3817
Stirrup Creek,9774,9774,9781,10384
Stonehill Estates,19380,19380,19384,19395
Stratford Lakes,4982,4982,4989,4983
Summer Meadow,13642,13642,13642,13629
Sunningdale,7526,7526,7526,6682
Surrey Green,6634,6634,6635,6636
Swallows Ridge,1189,1189,1189,1189
Swann's Mill,13138,13137,13137,13807
Taylor Estates,5372,5372,5757,5757
Thaxton,8735,8735,8736,8735
The Hills at Southpoint,14559,15888,15848,15518
The Landing at Southpoint,2266,2266,2266,2266
Townes at Brier Creek Crossing,3916,7693,7687,8637
Treyburn,79263,79703,79702,79621
Trinity Commons,1061,1061,1061,1057
Trinity Heights,19295,19947,19947,19965
Trinity Park,75530,75530,75529,75862
Trotter Ridge,8616,8616,8615,8613
Tuscaloosa-Lakewood,33870,33870,33875,33806
Urban 900,2949,2949,2949,2949
Valley Run,9559,9559,9559,9563
Valleybrook,21700,21700,21700,21698
Vantage Pointe,9018,9018,9017,9018
Walden Pond,6662,6773,6773,6769
Walltown,48217,47014,46804,46820
Warehouse District,23428,21700,21693,21690
Waterford,12996,12996,12996,12996
Watts Hospital-Hillandale,85284,85284,85340,89869
Welcome Circle,8732,8732,8732,8732
Wellington Forest,11288,11288,10104,10955
Wellington Forest,10417,10417,10424,10614
Wellons Village,20031,20031,20035,20035
West End,27277,27277,27272,27262
West Hills,15220,15220,15194,15243
West Murray / Broad,4777,4777,4777,4777
Westgate Townes,1514,1514,1514,1514
Westwood Estates,14821,14821,14821,14843
Whitney Park,2803,2803,2803,2810
Willow Hill,,,,
Willowhaven,,,,
Windsor Oaks,8353,6971,6971,6972
Woodcroft,69885,70671,70702,70720
Woodlake,48564,48564,48559,48591
Woodstone at Croasdaile Farm,3406,3406,3406,3406
Woodwinds,4672,4672,4677,4678
Wynstead,4725,4725,4725,4725
Wynterfield,12033,12056,12056,12051
