id,y_2012,y_2013,y_2014,y_2015,y_2016
Orchard Ridge,173712,184932,123321,137747.5,138930
Orchid Court,13500,,,,
Pagehurst,,,,,
Parc at University,,,,,
Park Ridge,,,,,
Parkside,,14000,,7000,2.00E+5
Parkwood,12500,5791,5300,8000,7200
Penrith,5098,6500,17850,8649.995,7512.5
Pine Valley,21210,6000,54790,10750,15000
Placid Valley,29582,38500,,10000,
Pleasant Drive,,2850,10500,5400,11500
Preston Avenue,50,,,,
Preston Woods,6050,8000,7330,23900,16500
Providence Ridge,12000,,,7050,20540
Ravenstone,191400,202884,1800,167650,224961
Ridgefield,3500,8081,134112,,4650
Rigsbee Hill,,132369,168782,,56170
River Forest,,2000,13273.5,7101,
River's Edge,,238217.1,268884,9650,9250
Rockwood,47000,4315.5,5000,26600,17775
Rougemont,15250,43412,35974,100850,48780
Rustica Oaks,,118536,146058,119969,15750
Scarsdale Village,3500,4800,8500,10560,25000
Sheridan Drive,190000,11500,,25926.5,17050
Solterra,76335.5,142339,29000,22800,105310
South Terrace at Auburn,,,,,
Southampton,2538.25,38000,33000,2600,8784.5
Southpoint Manor,21750,25600,12000,27069,23000
Southside / St. Teresa,67485,75171.5,41250,92000,120000
Spring Valley,20000,6587.5,14499.5,11046.6,27138.5
Stadium Heights,10400,5359,15000,16800,9000
Stephen's Woods,21295,9500,,,7500
Sterling Ridge,15050,,3000,15800,162629
Stillwood,,,2773,,
Stirrup Creek,,5400,2500,,5750
Stonehill Estates,4119.5,4500,18500,7656.16,8500
Stratford Lakes,,,,,
Summer Meadow,1500,8000,,,
Sunningdale,34400,,,29800,8500
Surrey Green,18903,24000,71000,64700,111500
Swallows Ridge,,,,8900,
Swann's Mill,167442,102498,13242.5,,
Taylor Estates,,,,,
Thaxton,233376,257202,12450,,
The Hills at Southpoint,208527,160380,35745,23000,112500
The Landing at Southpoint,,,,,
Townes at Brier Creek Crossing,,,130000,130000,130103
Treyburn,51966.51,212883,190938,130340,151975
Trinity Commons,,,,,
Trinity Heights,60201,29000,20800,64755,40000
Trinity Park,16700,18000,21200,21460.5,24646
Trotter Ridge,11000,9385,13708.9,4200,12622
Tuscaloosa-Lakewood,6025,7500,75000,88819,12460
Urban 900,55001,5200,50000,91000,29000
Valley Run,1000,7400,,,
Valleybrook,27980,10000,11000,16321.5,21000
Vantage Pointe,1994.09,246180,9122.12,5150,7675
Walden Pond,56656.5,,20196,,
Walltown,3034,24750,21150,9000,31000
Warehouse District,11282,22250,62405,15750,17000
Waterford,2900,50222,19162.5,9231,23531.25
Watts Hospital-Hillandale,11212.5,20950,23300,22520,20846.25
Welcome Circle,,50200,129409,25000,43000
Wellington Forest,1500,8163,4450,5000,2000
Wellington Forest,1500,8163,4450,5000,2000
Wellons Village,46995,112950,,9300,5000
West End,23843,75500,2700,80000,33392.5
West Hills,35000,10588,7566,89942.5,54770.085
West Murray / Broad,,101772,,,12010
Westgate Townes,16000,,,,
Westwood Estates,8250,12500,11849.645,14243,26500
Whitney Park,,,,,34900
Willow Hill,7000,18000,76361.5,,3219
Willowhaven,91750,21800,10650,14465,94250
Windsor Oaks,8635,,20297.5,49087.5,3400
Woodcroft,8226.5,11050,7946,5000,12500
Woodlake,6600.5,6700,4500,5800,15000
Woodstone at Croasdaile Farm,,,,,
Woodwinds,13000,6700,,,3800
Wynstead,,,,5000,
Wynterfield,108702,3000,,,
