id,y_2013,y_2014,y_2015,y_2016
Trinity Commons,342,342,342,342
Trinity Heights,142,143,157,116
Trinity Park,1413,1407,1449,1283
Trotter Ridge,0,0,0,0
Tuscaloosa-Lakewood,676,952,951,967
Urban 900,24,23,23,20
Valley Run,38,38,35,35
Valleybrook,1,1,1,1
Vantage Pointe,0,0,0,0
Walden Pond,67,122,144,144
Walltown,995,998,1033,980
Warehouse District,231,382,747,383
Waterford,0,0,1,1
Watts Hospital-Hillandale,556,558,580,567
Welcome Circle,0,0,0,0
Wellington Forest,178,211,170,170
Wellington Forest,178,211,170,170
Wellons Village,176,175,177,171
West End,646,665,676,661
West Hills,79,85,89,88
West Murray / Broad,40,41,41,40
Westgate Townes,60,60,60,60
Westwood Estates,30,29,37,37
Whitney Park,26,26,26,26
Willow Hill,0,0,0,0
Willowhaven,0,0,0,0
Windsor Oaks,0,0,0,0
Woodcroft,889,885,890,890
Woodlake,157,158,159,159
Woodstone at Croasdaile Farm,0,0,0,0
Woodwinds,63,63,62,62
Wynstead,3,5,8,8
Wynterfield,280,280,280,280
