id,y_2013,y_2014,y_2015
2,18,15,14
3,72,95,96
4,27,19,19
5,6,4,6
6,4,17,11
7,13,18,17
8,9,18,23
9,3,3,2
10,16,25,22
11,50,61,81
12,16,23,22
13,18,31,29
14,33,42,44
15,19,26,24
16,30,47,60
17,23,38,46
18,43,59,57
19,53,54,55
20,59,50,46
21,28,43,46
22,3,3,4
23,10,14,14
24,3,9,17
25,79,94,91
26,46,48,45
27,29,51,48
28,23,28,23
29,20,14,18
30,8,24,12
31,40,47,42
32,3,3,3
33,5,6,18
34,16,19,27
35,13,20,18
36,19,32,31
37,5,7,12
38,27,30,28
39,41,53,53
40,18,37,30
41,5,17,29
42,43,47,41
43,34,37,35
44,9,15,6
45,50,70,56
46,16,30,24
47,5,7,10
48,31,41,50
49,17,29,24
50,25,33,33
51,1,2,4
52,11,24,13
53,12,36,38
54,20,26,25
55,8,21,23
56,11,13,8
57,10,16,16
58,8,20,21
59,20,23,30
60,14,16,14
61,11,13,5
62,,,
64,18,17,15
65,9,7,8
66,6,7,7
67,5,3,
68,33,39,34
69,27,38,36
70,2,9,3
71,30,49,35
72,12,18,16
73,28,52,45
74,7,12,7
75,58,56,52
76,37,52,57
77,59,102,109
78,21,32,31
79,13,19,19
80,8,20,16
81,19,21,22
82,39,44,45
83,14,29,28
84,3,5,8
85,8,10,5
86,9,24,22
87,7,20,16
88,8,7,7
89,19,18,25
90,11,12,19
91,19,31,30
92,2,11,10
93,6,14,13
94,9,10,7
95,17,28,22
96,33,43,44
97,33,55,61
98,22,41,48
99,10,12,16
100,10,15,21
101,16,32,22
102,17,21,24
103,14,26,21
105,7,6,12
106,9,16,16
107,26,38,43
108,24,31,25
109,19,38,31
110,21,29,26
111,34,48,52
112,7,18,21
113,42,64,56
114,6,3,12
115,154,225,221
116,21,41,43
117,34,70,68
118,30,20,18
119,13,18,9
120,10,16,13
121,17,31,25
122,,,
123,10,20,28
124,5,9,11
125,20,37,48
126,,6,7
127,22,34,30
128,9,30,25
129,50,53,50
130,18,25,19
131,29,33,25
132,3,5,2
133,15,20,23
134,13,21,16
135,8,8,6
136,15,23,31
137,43,46,49
138,8,12,13
139,10,16,18
140,10,30,24
141,3,6,7
142,17,27,21
143,29,33,34
144,24,34,20
145,24,33,35
146,17,25,20
147,12,25,29
148,72,72,71
149,10,14,17
