id,y_2000,y_2010,y_2017
2,24.13,20.39,21.59
3,56.94,65.63,79.73
4,15.35,10.02,10.5
5,6.59,6.03,7.76
6,20.24,16.38,18.48
7,11.69,11.93,12.45
8,13.46,17.61,19.04
9,6.08,5.38,6.64
10,37.11,33.55,30.7
11,20.84,23.57,28
12,24.26,24.96,31.15
13,34.56,33.48,31.12
14,26.54,36.69,32.92
15,21.18,20.1,21.65
16,39.59,45.87,56.25
17,31.94,30.47,30.26
18,21.25,29.68,30.65
19,38.05,34.8,38.54
20,11.23,29.75,35.63
21,21.77,26.22,35.3
22,6.67,7.36,9.42
23,14.13,11,13.61
24,12.31,11.29,11.85
25,26.04,28.29,30.15
26,28.41,29.8,22.65
27,11.87,26.56,21.5
28,7.63,9.46,9.95
29,10.76,11.72,14.53
30,12.31,12.04,15.45
31,16.31,15.99,19.04
32,2.95,3.17,3.07
33,10.93,12.59,12.14
34,17.03,17.87,22.91
35,11.56,16.57,21.54
36,24.55,22.68,26.32
37,23.08,16.96,21.92
38,22.96,23.19,23.38
39,14.47,24.94,24.7
40,11.44,28.68,46.11
41,15.88,14.42,16.26
42,24.75,23.31,29.99
43,14.14,14.1,15.94
44,7.31,8.19,10.49
45,1.71,26.17,38.81
46,17.46,22.38,22.5
47,10.8,10.02,13.49
48,5.85,17.61,15.02
49,12.28,24.05,21.05
50,24.93,28.23,31.43
51,8.48,12.11,17.58
52,23.27,20.17,19.75
53,26.5,27.27,36.82
54,11.16,15.87,17.1
55,21.15,19.37,23.45
56,7,6.94,8.77
57,17.71,10.71,16.82
58,13.55,13.24,17.52
59,22.45,23.88,28.74
60,25.61,33.34,36.68
61,7.56,11.56,10.11
62,32.99,28.08,37.5
64,23.01,38.27,38.57
65,3.51,16.38,19.44
66,23.11,25.87,28.91
67,0.82,5.51,8.56
68,26.03,26.67,24.12
69,11.02,11.81,12.58
70,13.42,12.49,13
71,23.48,32.65,40.48
72,5.48,12.78,20.11
73,13.85,28.54,29.97
74,11.32,10.89,11.07
75,0.8,16.39,21.31
76,9.87,19.35,26.84
77,3.44,42.24,56.35
78,11.01,16.79,29.75
79,17.18,15.46,20.01
80,4.83,20.5,23.03
81,7.92,11.28,13.74
82,0.32,17.68,29.85
83,10.08,14.95,14.3
84,8.38,6.28,3.66
85,18.2,17.91,16.47
86,23.23,22.97,29.23
87,13.57,15.54,12.88
88,16.2,11.82,11.51
89,14.41,14.56,13.17
90,19.78,17.76,19.42
91,20.35,22.5,26.54
92,,14.95,20.97
93,11.65,12.36,13.56
94,11.77,10.35,13.57
95,10.12,15.97,19.26
96,17.5,32.32,36.55
97,24.04,35.51,32.5
98,3.46,23.94,21.12
99,16.38,14.68,16.68
100,19.6,18.13,19.23
101,21.83,18.19,16.53
102,13.47,13.37,17.53
103,8.94,13.46,10.83
105,5.07,8.47,12.07
106,15.11,12.56,15.09
107,14.25,19.85,24.9
108,11.21,13.19,11.9
109,11.26,21.47,20.96
110,8.07,16.71,16.53
111,4.51,22.74,37.36
112,7.33,12.8,14.22
113,9.29,36.3,39.96
114,18.42,12.06,9.42
115,11.35,33.12,52.53
116,13.35,28.17,39.27
117,6.22,33.08,35.17
118,11.93,11.59,11.99
119,10.83,13.11,17.62
120,7.11,14.51,15.48
121,16.01,20.72,18.39
122,1.17,,
123,22.8,24.43,24.5
124,20.14,18.09,19.9
125,13.7,29.35,29.72
126,9.29,0.13,6
127,22.14,26.13,31.44
128,27.61,25.03,26.79
129,23.23,21.84,24.79
130,13.18,15.35,15.22
131,18.49,18.06,23.36
132,5.93,4.58,4.09
133,9.34,9.83,13.49
134,9.65,7.94,8.43
135,12.36,12.48,12.88
136,2.88,18.48,15.57
137,6.27,18.39,18.43
138,5.96,7.04,8.42
139,7,14.75,16.6
140,21.17,25.57,29.34
141,7.13,8.81,7.81
142,20.81,23.66,29.49
143,13.34,13.23,13.75
144,19.93,20.55,20.93
145,15.01,18.75,23.35
146,10.61,17.01,21.44
147,19.44,20.24,17.82
148,16.68,21.46,24.75
149,0.62,6.43,6.27
150,8.51,17.58,18.06
151,5.74,32.27,35.4
152,5.07,7.42,5.98
153,7.28,37.53,41.76
154,21.18,29.2,39.59
155,12.97,23.83,29.27
156,4.61,29.58,34.59
157,16.43,15.31,7.22
158,16.97,33.68,33.82
159,6.74,9.09,12.86
160,25.95,27.07,26.29
161,23.79,25.48,18.37
162,16.52,18.22,18.21
163,9.22,8.18,9.3
164,38.47,36.64,37.73
165,16.47,19.91,28.52
166,7.33,9.46,7.39
167,5.69,7.65,8.44
168,15.6,14.3,13.93
169,1.06,19.72,21.32
170,7.34,17.22,15.35
171,7.55,8.53,8.21
172,0.24,25.38,33.32
173,4.21,9.52,11.63
174,6.75,15.84,15.78
175,18.86,17.41,17.39
176,12.28,29.61,31.1
177,19.17,19.79,15.76
178,6.72,18.24,24.52
179,16.67,15.81,16.48
180,9.12,12.2,14.11
181,25.51,25.16,28.91
182,8.94,7.37,5.54
183,6.33,8.05,7.65
184,13.58,12.63,16.85
185,21.87,27.48,27.66
186,20.34,23.56,26.56
187,5.33,9.59,11.24
188,5.4,14.94,19.88
189,8.98,9.56,12.71
190,5.61,9.15,8.8
191,20.59,22.73,25.22
192,8.31,18.2,28.3
193,11.13,12.09,12.33
194,23.09,28.1,29.56
195,2.1,21.2,23.7
196,4.01,19.61,24.93
197,18.77,24.03,25.29
198,13.28,13.28,12.31
199,20.54,27.42,36.87
200,7.91,5.88,7.02
201,19.99,27.16,29.41
202,19.22,22.12,28.71
203,4.31,16.12,16.56
204,6.67,13.32,16.09
205,7.38,8.82,8.38
206,11.97,12.97,12.9
207,0.17,16.17,21.06
208,17.2,18.85,19.32
209,11.42,27.07,34.04
210,12.15,14.41,17.65
211,8.94,23.8,24.82
212,14.06,12.78,12.2
213,13.43,16.8,18.35
215,8.91,8.19,6.56
216,7.06,7.79,6.24
217,11.74,12.08,15.79
218,23.24,26.19,20.76
219,17.22,16.53,18.35
220,17.94,16.92,18.8
221,12.9,21.38,25.99
222,14.15,15.22,16.91
223,19.73,18.75,14.31
224,23.18,22.26,26.82
225,6.67,9.4,12.98
226,7.7,7.44,9.38
227,12.39,24.14,26
228,1.54,6.21,7.39
229,11.5,20.96,43
230,11.42,17.69,22.18
231,7.73,16.62,21.51
232,11.06,25.15,24.59
233,16.01,23.81,27.67
234,29.06,36.78,37.91
235,18.67,19.33,22.85
236,14.6,13.38,13.24
237,15.38,22.94,25.33
238,15.97,22.2,21.26
240,16.1,14.95,16.59
241,18.9,18.59,22.97
242,,15.21,15.32
243,1.1,1.05,0.61
244,18.48,18.26,20.05
245,12.54,12.87,14.39
246,17.9,20.84,28.94
247,5.32,10.02,9.98
248,12.95,16.01,13.57
249,18.67,12.62,17.71
250,7.54,16.32,14.85
251,5.47,14.89,18.98
252,9.89,9.35,9.74
253,20.74,20.61,21.99
254,1.12,4.95,8.93
255,21.97,27.02,24.03
256,9.12,21.82,35.13
257,1.14,28.43,41.76
258,23.22,29.07,25.72
259,13.72,24.31,29.22
260,29.73,35.14,45.09
261,24.17,22.24,21.83
262,31.16,30.19,37.38
263,23.19,23.49,23.89
264,19.23,18.45,28.71
265,13.68,15.14,13.67
266,12.1,26.73,31.86
267,10.07,40.44,50.33
268,15.65,17.35,20.93
269,17.12,26.28,27.72
270,11.21,13.21,12.13
271,12.69,11.63,15.45
272,8.71,13.88,20.12
273,1.58,16.57,18.58
274,,9.71,12.7
275,22.19,20.47,18.82
276,12.47,18.71,18.62
277,5.84,13.29,19
278,9.64,12.22,15.62
279,5.31,14.3,13.88
280,11.74,18.99,21.82
281,8.67,9.84,10.78
282,5.75,13.45,10.83
283,18.25,25.3,31.27
284,5.38,9.64,9.31
285,,,
286,7.7,6.98,7.36
287,14.91,25.9,24.43
288,22.91,20.99,24.87
289,9.44,34.35,37.64
290,5.36,5.39,2.87
291,19.17,18.07,24.21
292,8.97,10.86,11.73
293,9.43,7.27,8.43
294,10.62,9.09,6.91
295,14.95,13.28,12.68
296,4.92,12.48,16.41
297,4.74,4.53,3.78
298,12.41,14.4,11.44
299,17.87,25.41,27.48
300,9.55,11.16,10.26
301,16.29,19.1,16.95
302,24.53,29.09,33.54
303,16.6,18.25,15.77
304,13.99,5.64,9.48
305,3.52,8,6.23
306,15.26,13.35,9.17
307,25.9,28.64,36.74
308,7.72,9.42,11.68
309,6.87,15.86,19.5
310,11.13,23.72,18.19
311,14.21,11.53,9.34
312,15.77,14.05,9.28
313,11.78,16.34,16.24
314,25.53,24.22,19.59
315,12.56,5.46,8.91
316,32.59,37.93,40.89
317,7.86,7.68,10.03
318,16.98,16.12,17.2
319,29.44,29.89,32.49
320,8.84,9.45,10.07
321,12.2,11.21,13.36
322,10.63,12.17,19.42
323,23.56,25.18,29.53
324,15.35,16.35,21.06
325,24.21,25.65,31.22
326,10.61,9.35,9.89
327,16.89,16.58,16.57
328,9.09,10.43,14.88
329,9.69,18.95,15.64
330,8.96,19.88,20.64
331,4.52,7.25,10.04
332,6.38,13.68,17.03
333,26,28.13,35.97
334,,7.25,11.95
335,5.52,29.51,38.62
336,11.6,33.5,47.28
337,4.07,18.37,24.57
338,9.17,11.41,15.9
339,0.76,6.66,15.93
340,23.45,56.21,55.14
341,20.37,41.82,30.45
342,,4.43,5.69
343,17.7,12.9,13.34
344,8.82,13.17,16.1
345,6.35,8.72,15.2
346,24.74,25.14,29.21
347,8.62,5.9,6.15
348,23.35,30.83,38.54
349,11.13,19.28,16.51
350,14.45,14.74,14.65
351,9.42,10.1,12.74
352,19.24,23.79,24.71
353,22.24,24.05,23.04
354,10.28,19.37,19.19
355,10.05,18.94,21.18
356,19.19,44.16,57.14
357,23.75,21.39,26.5
358,24.95,30.51,35.57
359,20.14,21.29,24.46
360,25.72,39.56,45.67
361,21.01,9.94,10.65
362,29.15,28.75,35.86
363,26.28,23.4,24.39
364,22.16,24.26,26.92
365,13.04,12.17,14.1
366,10.82,6.62,8.13
367,39.61,40.53,49.27
368,29.06,28.39,28.64
369,14.13,11.97,12.97
370,31.91,26.52,30.35
371,69.7,74.42,74.55
372,54.93,111.23,112.87
373,24.47,23.86,32.57
374,25.88,22.69,25.79
375,25.77,24.81,26.74
376,30.25,36.35,41.57
377,8.23,49.82,54.04
378,38.97,39.93,43.17
379,34.05,40.29,39.72
380,48.43,54.26,60.34
381,30.53,29.33,31.68
382,35.9,27.62,25.19
383,42.87,37.22,49.23
384,8.54,22.43,36.77
385,48.93,45.24,52.36
386,22.28,15.56,18.59
387,25.6,25.03,28.19
388,20.28,14.73,21.74
389,82.19,88.93,89.27
390,10.63,13.97,13.65
391,24.99,22.85,24.17
392,80.53,87.81,93.98
393,51.28,49.19,55.02
394,24.41,25.46,27.67
395,10,15.06,17.63
396,21.97,25.26,27.49
397,5.17,15,18.53
398,,4.64,7.27
399,11.65,18.62,19.64
400,22.26,24.78,26.7
401,20.23,20.89,26.2
402,13.15,15.47,15.16
403,11.14,16.27,23.9
404,15.34,18.65,18.09
405,2.33,31.75,36.92
406,17.63,20.51,24.11
407,13.71,17.03,18.32
408,15.99,29.75,35.53
409,15.24,24.84,28.62
410,12.13,12.9,13.08
411,2.15,13.92,15.96
412,5.76,6.04,6.1
413,18.7,35.81,40.34
416,1.22,12.79,12.14
417,7.72,19.04,22.36
418,12.49,31,36.2
419,19.2,30.25,26.83
420,19.18,24.85,30.41
421,0.97,11.93,15.13
422,12.33,18.78,21.04
423,14.79,18.47,21.53
424,14.24,14.79,13.96
425,9,11.58,12.74
426,16.33,19.82,23.31
428,10.08,14.78,17.88
430,16.55,24.6,31.21
431,13.66,17.78,19.43
432,27.86,26.32,30.68
433,9.88,9.98,11.75
434,5.48,24.47,28.2
435,5.74,6.25,5.28
436,12.74,16.78,19.04
437,17.57,21.24,34.8
438,3.92,6.12,17.12
442,19.11,19.3,26.45
443,11.12,16.72,14.77
444,18.7,23.41,25.04
445,26.97,27.96,26.54
446,9.26,12.71,16.04
447,6.22,21.39,26.87
448,6.64,24.76,31.22
449,15,20.14,19.99
450,8.86,34.14,34.05
451,17.53,32.02,35.78
452,12.88,13.79,17.32
453,17.66,18.63,20.25
454,9.97,17.46,16.32
455,13,19.96,17.9
456,9.6,11.18,12.8
457,11.29,10.46,12.11
458,8.24,10.92,10.66
459,17.18,26.26,31.49
460,21.66,27.3,34.5
