id,y_2014,y_2015
2,22,15
3,53,66
4,25,29
5,4,2
6,10,11
7,20,14
8,10,10
9,1,2
10,28,24
11,47,45
12,17,23
13,12,15
14,53,45
15,23,27
16,40,40
17,35,24
18,41,53
19,59,54
20,55,52
21,23,33
22,2,1
23,8,11
24,11,6
25,98,99
26,46,44
27,44,67
28,30,33
29,28,30
30,8,6
31,41,45
32,2,2
33,6,10
34,17,16
35,18,17
36,20,17
37,13,5
38,18,20
39,40,44
40,23,26
41,10,6
42,42,43
43,33,37
44,7,6
45,41,49
46,20,18
47,,
48,23,24
49,21,19
50,21,23
51,3,1
52,18,9
53,21,13
54,18,22
55,16,14
56,20,15
57,6,9
58,14,13
59,18,15
60,10,6
61,7,4
62,,
64,9,5
65,2,1
66,7,5
67,,1
68,42,28
69,19,22
70,5,6
71,35,24
72,14,18
73,30,35
74,6,6
75,64,66
76,51,41
77,79,72
78,27,28
79,10,17
80,6,8
81,17,15
82,35,38
83,24,32
84,4,5
85,7,3
86,19,18
87,7,14
88,13,13
89,15,12
90,10,9
91,31,26
92,5,3
93,10,10
94,10,11
95,21,23
96,25,27
97,33,37
98,30,35
99,16,17
100,20,23
101,16,17
102,16,13
103,9,8
105,11,11
106,12,10
107,37,36
108,22,30
109,28,26
110,23,24
111,23,40
112,11,19
113,43,59
114,9,7
115,169,200
116,28,24
117,45,51
118,33,30
119,22,23
120,15,9
121,20,21
122,,
123,15,15
124,18,11
125,25,32
126,1,1
127,21,19
128,19,22
129,32,34
130,20,16
131,26,44
132,,
133,15,8
134,12,8
135,6,6
136,13,9
137,21,44
138,5,4
139,11,20
140,20,23
141,11,5
142,18,22
143,26,36
144,25,26
145,34,30
146,16,25
147,19,17
148,48,53
149,28,26
150,15,21
151,162,179
152,14,14
153,95,88
154,46,43
155,26,24
156,27,39
157,8,8
158,39,42
159,5,7
160,16,18
161,15,24
162,21,19
163,9,10
164,37,28
165,18,13
166,4,5
167,5,4
168,15,13
169,74,92
170,68,70
171,14,13
172,128,141
173,9,19
174,23,23
175,22,38
176,124,115
177,34,31
178,4,2
179,35,29
180,7,8
181,41,46
182,4,2
183,3,4
184,9,11
185,16,15
186,36,31
187,27,33
188,47,48
189,23,16
190,6,7
191,42,38
192,20,33
193,27,30
194,93,95
195,47,46
196,21,22
197,25,20
198,19,19
199,23,24
200,1,5
201,43,48
202,36,32
203,25,23
204,35,36
205,25,26
206,37,34
207,6,7
208,42,44
209,31,41
210,1,4
211,40,44
212,10,5
213,24,31
215,16,15
216,16,12
217,24,23
218,34,31
219,6,6
220,9,10
221,16,14
222,11,10
223,10,14
224,29,33
225,21,23
226,3,7
227,38,36
228,11,12
229,22,30
230,11,6
231,25,26
232,37,44
233,50,45
234,54,47
235,34,35
236,10,9
237,23,27
238,31,24
240,8,7
241,33,32
242,32,24
243,,
244,23,18
245,10,9
246,8,8
247,5,6
248,11,7
249,17,18
250,14,21
251,34,30
252,13,9
253,52,60
254,4,
255,84,65
256,34,31
257,76,95
258,30,34
259,23,15
260,18,26
261,36,37
262,48,53
263,33,37
264,26,22
265,32,25
266,53,59
267,111,106
268,15,15
269,40,51
270,11,9
271,7,9
272,7,5
273,13,18
274,12,12
275,27,26
276,31,29
277,23,27
278,18,22
279,4,2
280,17,24
281,8,11
282,31,23
283,40,29
284,51,49
285,,
286,11,8
287,24,27
288,33,36
289,65,70
290,8,9
291,21,15
292,9,10
293,8,2
294,9,7
295,10,8
296,24,17
297,11,10
298,10,13
299,20,16
300,3,3
301,31,35
302,39,35
303,14,10
304,4,8
305,8,10
306,,
307,21,34
308,42,53
309,55,51
310,114,99
311,9,4
312,11,12
313,22,28
314,19,18
315,,
316,47,41
317,4,5
318,10,8
319,28,29
320,17,19
321,5,6
322,9,9
323,23,19
324,10,6
325,26,24
326,3,3
327,15,17
328,1,7
329,20,28
330,16,22
331,13,14
332,17,17
333,26,21
334,3,
335,91,94
336,35,37
337,13,14
338,2,2
339,,
340,1,2
341,16,12
342,,
343,7,9
344,5,5
345,8,10
346,13,29
347,4,1
348,22,27
349,35,34
350,26,25
351,25,25
352,58,66
353,69,66
354,6,7
355,32,26
356,135,150
357,22,23
358,69,74
359,36,34
360,40,39
361,11,7
362,16,12
363,10,11
364,27,21
365,11,10
366,4,4
367,51,51
368,30,36
369,8,7
370,24,21
371,45,40
372,261,234
373,24,22
374,10,11
375,48,44
376,38,36
377,58,68
378,41,48
379,148,146
380,190,194
381,8,11
382,10,10
383,49,55
384,,3
385,32,42
386,12,8
387,19,20
388,9,13
389,86,102
390,7,10
391,15,19
392,125,131
393,36,24
394,37,28
395,14,25
396,28,34
397,11,12
398,4,7
399,35,33
400,91,93
401,40,38
402,33,35
403,44,51
404,24,23
405,72,79
406,21,16
407,38,38
408,36,45
409,43,41
410,7,6
411,30,37
412,8,6
413,123,103
416,20,10
417,50,42
418,79,72
419,68,72
420,35,30
421,20,24
422,24,28
423,40,48
424,9,8
425,33,40
426,38,37
428,20,16
430,15,27
431,31,26
432,61,55
433,30,25
434,31,19
435,10,7
436,25,18
437,17,12
438,34,40
442,34,30
443,23,27
444,37,42
445,65,67
446,27,25
447,34,41
448,46,41
449,14,16
450,52,71
451,99,108
452,20,20
453,19,21
454,36,42
455,40,39
456,,
457,37,29
458,26,30
459,65,64
460,79,83
462,22,23
463,23,28
464,80,94
465,28,27
466,37,45
467,51,46
468,4,
469,52,47
470,24,22
471,50,44
472,15,17
473,28,29
474,36,31
475,35,40
