id,y_2013,y_2014
2,1,7
3,13,4
4,9,
5,1,1
6,2,5
7,7,
8,,
9,,
10,6,1
11,9,7
12,5,6
13,2,7
14,15,17
15,4,
16,5,9
17,8,9
18,12,7
19,14,11
20,24,17
21,6,6
22,,
23,3,1
24,1,3
25,23,33
26,13,13
27,12,17
28,4,
29,4,9
30,3,2
31,13,8
32,,
33,,
34,6,3
35,5,3
36,6,2
37,2,6
38,7,8
39,12,9
40,7,8
41,7,7
42,9,5
43,6,
44,,
45,5,20
46,4,3
47,,
48,7,17
49,4,3
50,4,13
51,,
52,1,3
53,5,3
54,8,8
55,5,4
56,4,10
57,3,5
58,1,7
59,7,5
60,2,4
61,,3
62,,
64,,2
65,,
66,3,
67,2,
68,15,17
69,,3
70,1,2
71,7,12
72,3,6
73,9,13
74,,3
75,25,12
76,12,15
77,24,30
78,8,8
79,2,5
80,3,1
81,4,8
82,5,14
83,2,5
84,,2
85,1,
86,3,4
87,,3
88,1,3
89,6,5
90,2,
91,10,12
92,,
93,5,11
94,3,5
95,7,10
96,6,19
97,17,18
98,6,17
99,6,8
100,4,4
101,3,5
102,5,8
103,2,3
105,4,3
106,1,1
107,9,11
108,9,9
109,3,6
110,4,7
111,9,7
112,3,6
113,12,10
114,1,3
115,54,37
116,10,12
117,11,19
118,10,17
119,8,9
120,,1
121,7,6
122,,
123,4,4
124,3,1
125,10,9
126,,
127,5,2
128,1,7
129,6,3
130,3,4
131,6,10
132,,
133,6,
134,4,1
135,1,
136,2,2
137,4,3
138,4,2
139,3,3
140,11,11
141,2,1
142,12,16
143,8,
144,7,10
145,10,11
146,9,19
147,3,7
148,25,13
149,5,9
150,3,10
151,51,34
152,3,4
153,28,13
154,13,8
155,4,5
156,9,15
157,1,4
158,12,6
159,3,2
160,8,11
161,5,6
162,5,12
163,3,
164,3,9
165,2,5
166,3,4
167,,
168,3,3
169,22,12
170,21,20
171,7,4
172,26,31
173,3,7
174,2,10
175,13,10
176,30,26
177,4,
178,,
179,15,4
180,4,4
181,7,8
182,2,1
183,1,2
184,,
185,7,17
186,13,9
187,9,8
188,9,6
189,9,4
190,,4
191,9,15
192,4,3
193,3,4
194,35,34
195,13,10
196,5,9
197,3,7
198,8,7
199,4,5
200,1,2
201,12,14
202,4,5
203,5,9
204,18,9
205,6,7
206,15,13
207,1,1
208,18,5
209,12,12
210,1,
211,4,13
212,1,2
213,2,5
215,8,
216,,
217,11,
218,8,4
219,2,1
220,5,10
221,5,4
222,3,
223,4,7
224,13,9
225,4,3
226,2,
227,12,12
228,6,5
229,4,6
230,2,3
231,8,7
232,9,12
233,11,9
234,6,19
235,6,12
236,,
237,8,11
238,7,6
240,4,
241,12,5
242,11,8
243,,
244,8,5
245,4,2
246,2,4
247,1,2
248,5,3
249,4,1
250,2,8
251,6,4
252,1,1
253,14,18
254,,
255,31,22
256,12,8
257,24,28
258,6,9
259,6,12
260,7,11
261,9,14
262,17,27
263,21,8
264,9,8
265,9,3
266,15,11
267,18,39
268,6,11
269,12,9
270,,2
271,4,2
272,3,1
273,3,4
274,4,2
275,8,9
276,4,7
277,3,8
278,5,3
279,3,3
280,3,2
281,4,4
282,7,6
283,13,15
284,16,21
285,,
286,3,
287,8,13
288,9,5
289,14,28
290,1,2
291,3,7
292,1,4
293,5,4
294,1,3
295,1,4
296,3,4
297,,
298,3,4
299,7,12
300,,1
301,7,8
302,15,15
303,9,8
304,,1
305,2,4
306,,
307,8,15
308,14,12
309,19,20
310,31,35
311,,
312,1,5
313,7,15
314,3,2
315,,
316,6,16
317,,3
318,1,5
319,17,23
320,2,
321,2,3
322,4,
323,12,19
324,3,7
325,9,6
326,4,
327,3,6
328,,4
329,5,6
330,9,12
331,,2
332,4,4
333,12,9
334,,
335,31,23
336,13,13
337,3,2
338,3,4
339,,
340,,
341,,1
342,,
343,,
344,,
345,7,
346,5,4
347,,1
348,8,4
349,10,6
350,11,
351,8,6
352,24,17
353,18,14
354,,4
355,3,5
356,41,22
357,7,2
358,21,18
359,8,7
360,30,21
361,2,
362,2,10
363,2,1
364,7,3
365,2,
366,,
367,12,11
368,11,16
369,,3
370,4,6
371,18,22
372,45,28
373,10,
374,3,2
375,17,5
376,11,12
377,18,13
378,10,3
379,58,55
380,47,71
381,8,2
382,2,6
383,17,14
384,,
385,7,10
386,2,
387,4,16
388,3,2
389,19,21
390,2,2
391,6,7
392,32,22
393,7,13
394,10,7
395,9,14
396,11,14
397,2,
398,,
399,7,6
400,18,30
401,6,9
402,10,7
403,16,7
404,5,5
405,22,18
406,6,4
407,12,8
408,11,15
409,13,7
410,6,
411,3,7
412,4,
413,28,24
416,,5
417,2,8
418,17,16
419,19,15
420,14,6
421,1,6
422,5,6
423,14,6
424,6,5
425,9,4
426,16,11
428,8,12
430,5,10
431,8,8
432,20,19
433,9,11
434,10,10
435,,
436,11,7
437,8,2
438,7,10
442,6,19
443,15,10
444,10,16
445,15,17
446,2,6
447,9,9
448,9,11
449,10,
450,12,14
451,28,21
452,,7
453,4,9
454,16,6
455,15,8
456,,
457,14,8
458,13,7
459,18,14
460,20,25
462,5,3
463,11,5
464,26,14
465,7,5
466,7,11
467,20,20
468,5,
469,11,5
470,10,2
471,7,16
472,,
473,6,6
474,12,7
475,14,7
