id,y_2010,y_2012,y_2014,y_2015,y_2016,y_2017,y_2018
191,542,1106,652,213,1126,312,825
192,385,899,595,171,1327,230,672
193,457,739,474,299,761,387,670
194,905,1523,1012,415,1546,518,1190
195,444,965,538,158,1238,297,906
196,383,826,482,119,886,229,646
197,408,817,464,175,806,228,585
198,487,798,542,269,856,353,781
199,270,925,384,88,861,149,532
200,41,196,77,16,275,42,170
201,932,1619,1048,480,1699,698,1463
202,261,626,313,112,579,140,431
203,399,703,445,128,894,291,762
204,292,707,403,141,756,228,609
205,400,553,402,231,592,292,565
206,306,584,334,140,556,203,461
207,140,668,340,64,1120,160,732
208,810,1206,919,589,1274,722,1179
209,621,1329,836,210,1766,402,1266
210,381,846,405,192,824,312,829
211,610,1131,674,199,1103,330,867
212,261,452,273,115,413,144,292
213,598,923,615,321,858,498,798
215,380,532,451,274,562,380,555
216,273,446,275,151,453,153,272
217,533,821,535,322,838,387,745
218,799,1406,901,344,1438,495,1144
219,172,564,223,42,783,90,483
220,358,654,369,98,658,141,466
221,364,849,474,138,997,231,659
222,619,998,686,336,1028,487,912
223,464,869,506,187,752,223,537
224,582,1071,675,275,1177,398,928
225,197,439,232,24,467,39,227
226,184,386,242,87,433,129,333
227,573,1040,605,185,1073,316,801
228,115,232,127,10,253,42,256
229,355,969,593,170,1397,116,328
230,168,623,242,62,519,93,370
231,462,889,618,197,1167,375,945
232,498,1070,559,141,1187,294,979
233,655,1149,688,299,1230,401,1003
234,689,1236,815,342,1308,505,955
235,742,1193,814,434,1267,580,1055
236,585,904,688,357,950,464,809
237,459,995,573,185,1157,306,856
238,552,1070,617,217,980,339,767
240,362,702,374,157,723,255,586
241,890,1270,917,508,1332,702,1178
242,339,658,349,82,653,177,514
243,25,42,30,11,57,18,97
244,550,957,608,248,885,327,705
245,216,524,281,102,514,141,325
246,397,855,456,160,879,239,603
247,65,245,98,13,198,22,103
248,99,448,166,25,452,42,279
249,72,240,96,33,199,37,107
250,376,748,450,116,805,227,643
251,433,876,559,157,944,306,794
252,323,545,362,141,556,230,473
253,571,1044,684,268,1127,407,905
254,69,185,80,18,319,49,215
255,874,1517,1004,424,1536,621,1351
256,771,1324,904,128,2076,734,2314
257,545,1317,684,160,1522,302,1204
258,594,1201,707,233,1232,390,956
259,453,955,550,137,1040,280,767
260,1009,1800,1121,472,1664,656,1294
261,594,1076,627,273,1142,423,933
262,1186,1946,1327,589,2002,778,1758
263,992,1521,1110,552,1631,711,1396
264,449,969,605,167,1093,352,851
265,463,733,498,231,844,320,649
266,675,1326,778,193,1471,353,1142
267,901,1932,1055,246,2290,604,1881
268,474,813,502,204,785,276,622
269,769,1319,844,428,1384,572,1227
270,98,346,117,20,328,40,191
271,390,705,442,177,648,241,477
